-522001	-8696
-522000	-30733
-521838	-101962
-521692	-6121
-521691	-44903
-521689	-101962
-521549	-1317
-521507	-157174
-521323	-4596
-521044	-33395
-521031	-2224
-520534	-2347
-520382	-1348
-520232	-156859
-520232	-156858
-520232	-156857
-520232	-156856
-520232	-156855
-520232	-156854
-520232	-156853
-520232	-156852
-520232	-156851
-520232	-156850
-520232	-156849
-520232	-156848
-520232	-156847
-520232	-156846
-520232	-156845
-520232	-156844
-520232	-156843
-520232	-156842
-520232	-156841
-520232	-156840
-520232	-156839
-520232	-156838
-520232	-156837
-520232	-156836
-520232	-156835
-520232	-140134
-520232	-125083
-520232	-81848
-520232	-75393
-520232	-56320
-520232	-11780
-520232	-4521
-519869	-156733
-519456	-156659
-519133	-115467
-519005	-156526
-518867	-156496
-518779	-156482
-518453	-156409
-518452	-156409
-518153	-141095
-517957	-8133
-517956	-99328
-517873	-89037
-517835	-89037
-517749	-61667
-517732	-156285
-517731	-156284
-517730	-38246
-517729	-38246
-517727	-156282
-517726	-156281
-517725	-42915
-517724	-42915
-517723	-156280
-517722	-156280
-517721	-88464
-517720	-156279
-517719	-156279
-517718	-156278
-517717	-156278
-517716	-156278
-517715	-156263
-517714	-156277
-517713	-128340
-517712	-128340
-517711	-156276
-517710	-156276
-517709	-156275
-517708	-116443
-517707	-156274
-517706	-156273
-517705	-156273
-517704	-156272
-517703	-156271
-517702	-156270
-517701	-37958
-517700	-156269
-517699	-156268
-517698	-156268
-517697	-156268
-517696	-156267
-517695	-156267
-517694	-26724
-517693	-42919
-517693	-42918
-517692	-42919
-517692	-42918
-517691	-156266
-517690	-156265
-517688	-156265
-517687	-88530
-517686	-156264
-517685	-156263
-517684	-156262
-517683	-156261
-517682	-156260
-517681	-156259
-517680	-112196
-517679	-98148
-517678	-98148
-517677	-98149
-517676	-156258
-517676	-156257
-517673	-156256
-517672	-156255
-517671	-156254
-517670	-156253
-517669	-156252
-517651	-156248
-517650	-6913
-517548	-156230
-517547	-11369
-517546	-74445
-517405	-143611
-517404	-156209
-517402	-156208
-517377	-156203
-517373	-156201
-517364	-156197
-517352	-6881
-517351	-156193
-517350	-52824
-517236	-35571
-517139	-156154
-517138	-25043
-517064	-11818
-517063	-11818
-517044	-91695
-517028	-12547
-517027	-12547
-517026	-12547
-516813	-11677
-516812	-11677
-516811	-11677
-516810	-11677
-516687	-32029
-516654	-138852
-516267	-2339
-516266	-2339
-516264	-2339
-516137	-155996
-515932	-120862
-515873	-120862
-515671	-155937
-515264	-155812
-515256	-115214
-515255	-155810
-515255	-155809
-515255	-155808
-515254	-155807
-515254	-155806
-515158	-155789
-515061	-6799
-514731	-52824
-514729	-155674
-514624	-155652
-514624	-71707
-514534	-155616
-514507	-21239
-514405	-23263
-514339	0
-514276	-14191
-514197	-64064
-514114	-155532
-513374	-155332
-513319	-65303
-513144	-40427
-512369	-114165
-512254	-114165
-512113	-102516
-512080	-114165
-512061	-7246
-511979	-155069
-511878	-95856
-511860	-154693
-511849	-155021
-511591	-154961
-511587	-154961
-511506	-154940
-511496	-154939
-511495	-154939
-511473	-3091
-511467	-3091
-511462	-3091
-511264	-3091
-511263	-44903
-511262	-44903
-511167	-10431
-510922	-67852
-510723	-154727
-510657	-50943
-510656	-50943
-510631	-37956
-510566	-154693
-510565	-154693
-510541	-36365
-510243	-154608
-510183	0
-510114	-61667
-509995	-154554
-509903	-154512
-509870	-154509
-509788	-36848
-509656	-36848
-509585	-88675
-509525	-44816
-509460	-80106
-509458	-142276
-509457	-154410
-509456	-2218
-509455	-12921
-509454	-154409
-509453	-97865
-509451	-154408
-509450	-6880
-509449	-37139
-509448	-37139
-509447	-37139
-509419	-87398
-509379	-154396
-509290	-44816
-509220	-126185
-509220	-104145
-509217	-154306
-509010	-154306
-509009	-154306
-508931	-21078
-508930	-21078
-508890	-154268
-508889	-154268
-508888	-9539
-508720	-44777
-508702	0
-508401	-42326
-508400	-154155
-508359	-154147
-508214	-154125
-508213	-154125
-507954	-58064
-507953	-58064
-507914	-154056
-507870	-61030
-507869	-154040
-507692	-8689
-507066	-31723
-506924	-34472
-506923	-34472
-506922	-34472
-506737	-153708
-506714	-3104
-505522	-22676
-505516	-147369
-505515	-153411
-505514	-14268
-505465	-113769
-505463	-71521
-505054	-585
-504843	-38873
-504717	-103627
-504673	-114165
-504555	-153012
-504554	-153012
-504553	-153012
-504552	-153012
-504551	-153012
-504498	-153012
-504495	-153012
-504494	-153012
-504493	-153012
-504473	-153012
-504472	-153012
-504471	-153012
-504470	-153012
-504469	-153012
-504468	-153012
-504467	-153012
-504463	-127666
-504426	-153012
-504425	-153012
-504424	-153080
-504423	-153012
-504422	-153012
-504419	-153012
-504418	-153012
-504417	-153012
-504334	-153012
-504307	-153012
-504299	-153012
-504297	-153012
-504294	-152904
-504173	-153012
-504172	-153012
-504152	-153012
-504072	-103627
-503647	-5482
-503501	-152860
-503496	-152858
-503493	-148255
-503489	-4120
-503381	-152827
-503367	-152799
-503365	-152797
-503365	-152796
-503365	-152795
-503199	-97636
-503013	-72325
-502783	-395
-502757	-25043
-501663	-24223
-501663	0
-501582	-15705
-501271	-3086
-501023	-25043
-500795	-3061
-500752	-72325
-500682	-152446
-500681	-104145
-500585	-25043
-500582	-25043
-500538	-35571
-500531	-34360
-500482	-146221
-499950	-95811
-499949	-95811
-499948	-95811
-499731	-6234
-499446	-152263
-499445	-42719
-499319	-6121
-499122	-37653
-499118	-152160
-499051	-88515
-499029	-17174
-498862	-152089
-498724	-10118
-498723	-10118
-498720	-10118
-498717	-10118
-498715	-90925
-498576	-152031
-498575	-152030
-498574	-152030
-497630	-61759
-497629	-61759
-497064	-230
-496473	-151436
-496384	-151436
-496375	-151436
-496243	-151549
-496242	-147795
-496023	-151436
-495801	-151436
-495066	-25043
-495017	-1850
-495014	-151196
-495011	-18331
-495002	-427
-494616	-14897
-494589	-113933
-494561	-151102
-494560	-151102
-494064	-86801
-493874	-32045
-493872	-2207
-493871	-41578
-493870	-71325
-493869	-1874
-493864	-116490
-493863	-88630
-493861	-395
-493860	-395
-493858	-150914
-493857	-150913
-493856	-150913
-493854	-76305
-493853	-44092
-493852	-150912
-493851	-126185
-493850	-53107
-493849	-44092
-493791	-37653
-493449	-32533
-493448	-140235
-493393	-150793
-493297	-49668
-493113	-6881
-493109	-150748
-493108	-94226
-493107	-150748
-493106	-150748
-493096	-150748
-493023	-9019
-492961	-32533
-492960	-112453
-492875	-41621
-492873	-41621
-492824	-44100
-492823	-89656
-492822	-105239
-492821	-105239
-492820	-105239
-492819	-150690
-492818	-150690
-492817	-150690
-492816	-150690
-492815	-95084
-492814	-95596
-492813	-95596
-492812	-150689
-492732	-150657
-492668	-86786
-492646	-126185
-492643	-126185
-492476	-9019
-492475	-9019
-492383	-119812
-492373	-150583
-492357	-150580
-492302	0
-492155	-53178
-491421	-150428
-491308	-8416
-491307	-150411
-491020	-59213
-490798	-33890
-490308	-150283
-490251	-123107
-490156	-1754
-489939	-150235
-489874	-5499
-489839	-150212
-489504	-4110
-489378	-43176
-489049	-149940
-489048	-25738
-488975	-27081
-488812	-149872
-488812	-149871
-488812	-149870
-488812	-149869
-488812	-149868
-488812	-149867
-488812	-149866
-488812	-149865
-488812	-149864
-488812	-149863
-488812	-149862
-488812	-149861
-488715	-122998
-488624	-149826
-488624	-149825
-488624	-149824
-488624	-149823
-488624	-149822
-488624	-84749
-488624	-35432
-488624	-21415
-488624	-5249
-488623	-5249
-488507	-6880
-488471	-149781
-488470	-149781
-488469	-149780
-488422	-10176
-488420	-149772
-488374	-149750
-488374	-149749
-488306	-5249
-487234	-25094
-487097	-149408
-486711	-149263
-486710	-149262
-486696	-15836
-486690	-25090
-486601	-149245
-486200	-50863
-486119	-24110
-486118	-149170
-486117	-149170
-486116	-84200
-486115	-84200
-486114	-149169
-486113	-149169
-486112	-149169
-486111	-149169
-486110	-149169
-486109	-149169
-486108	-149169
-486107	-149169
-486106	-149169
-486105	-149169
-486104	-149169
-486103	-17835
-486102	-17835
-486101	-149058
-486100	-149058
-486099	-7537
-486098	-7280
-486097	-149168
-486096	-3289
-486095	-7280
-486063	-149159
-485992	-75506
-485991	-104442
-485990	-149148
-485989	-104442
-485875	-73978
-485874	-73978
-485873	-149109
-485872	-73978
-485871	-149109
-485870	-149109
-485839	-149105
-485838	-120855
-485837	-120855
-485836	-115214
-485835	-115214
-485834	-115214
-485833	-115214
-485832	-115214
-485831	-115214
-485830	-115214
-485829	-115214
-485828	-115214
-485827	-115214
-485826	-72325
-485824	-149104
-485823	-149104
-485822	-585
-485815	-12478
-485812	-12478
-485811	-12478
-485809	-16292
-485808	-149096
-485806	-68719
-485805	-71521
-485804	-71521
-485803	-68719
-485802	-149096
-485801	-149096
-485795	-43336
-485794	-43336
-485793	-8104
-485757	-68673
-485755	-149068
-485751	-17807
-485748	-17807
-485747	-149067
-485746	-33877
-485728	-51769
-485727	-51769
-485725	-51769
-485724	-67709
-485721	-149059
-485718	-3161
-485717	-149058
-485716	-115214
-485714	-3417
-485713	-149057
-485711	-53120
-485710	-27982
-485709	-35796
-485708	-112473
-485707	-33175
-485706	-149056
-485705	-149055
-485704	-149054
-485703	-149053
-485702	-149052
-485701	-149051
-485700	-120843
-485699	-149050
-485698	-102916
-485382	-40026
-485380	-685
-485379	-52892
-485378	-148990
-485377	-71585
-485376	-148989
-485376	-148988
-485375	-148987
-485372	-10660
-485371	-148986
-485371	-148985
