-154608	В	Войнов Юрій	Юрій		Войнов	
-154554	О	Олександр Вєтров	Вєтров		Олександр	
-154512	М	молдавський народ	народ		молдавський	
-154509	К	Кульчицький Болеслав (Борис)	Болеслав (Борис)		Кульчицький	
-154410	Г	Горостіса Карлос	Карлос		Горостіса	
-154409	Ш	Шмітт Ерік-Емманюель	Ерік-Емманюель		Шмітт	
-154408	Л	Люліч Валентина	Валентина		Люліч	
-154396	К	Корі Джеймс	Джеймс		Корі	
-154306	О	Олкотт Луїза Мей	Луїза Мей		Олкотт	
-154268	С	Стівен КІНГ	КІНГ		Стівен	
-154155	Л	Лігейн Денніс	Денніс		Лігейн	
-154147	Ж	Жаркий			Жаркий	
-154125	С	Смолич Ірина	Ірина		Смолич	
-154056	С	Сінек Саймон	Саймон		Сінек	
-154040	Ш	Шпіттелер Карл	Карл		Шпіттелер	
-153708	З	Зейкан Ярослав Павлович	Ярослав	Павлович	Зейкан	
-153411	В	Веллс Марта	Марта		Веллс	
-153080	М	Мірошниченко Олександр Анатоійович	Олександр	Анатоійович	Мірошниченко	
-153012	М	Мірошниченко Олександр Анатолійович	Олександр	Анатолійович	Мірошниченко	
-152904	П	Пилског Стурла	Стурла		Пилског	
-152860	Ґ	Ґверра Тоніно	Тоніно		Ґверра	
-152858	Ґ	Ґрін Ґрем	Ґрем		Ґрін	
-152827	Н	Нечуй-Левицький І. С.	І.	С.	Нечуй-Левицький	
-152799	К	Камиш Маркіян	Маркіян		Камиш	
-152797	Р	Рильський Максим	Максим		Рильський	
-152796	Т	Тичина Павло	Павло		Тичина	
-152795	Г	Грінченко Борис	Борис		Грінченко	
-152446	Б	Баграт Людмила	Людмила		Баграт	
-152263	Ш	Ширрефф Генерал сер Річард	Генерал сер Річард		Ширрефф	
-152160	А	Аврелій Марк	Марк		Аврелій	
-152089	А	Андерсон Кріс	Кріс		Андерсон	
-152031	М	Молодший Пліній	Пліній		Молодший	
-152030	Ф	фон Дах Ганс	Ганс		фон Дах	
-151549	М	Маланюк Євген	Євген		Маланюк	
-151436	Р	Рауд Ено	Ено		Рауд	
-151196	К	Каснер Рудольф	Рудольф		Каснер	
-151102	Б	Бойко Вадим	Вадим		Бойко	
-150914	С	Стельмах Дмитро	Дмитро		Стельмах	
-150913	І	Ірванець Олександр В.	Олександр	В.	Ірванець	
-150912	С	Сад Маркіз де	Маркіз	де	Сад	
-150793	М	Мензатюк Зірка	Зірка		Мензатюк	
-150748	М	Марина Павленко	Марина	Павленко		
-150690	О	Опільський Юліан	Юліан		Опільський	
-150689	В	Васильченков Степан	Степан		Васильченков	
-150657	В	Вишневський Януш Леон	Януш	Леон	Вишневський	
-150583	С	Сафон Карлос Руїз	Карлос Руїз		Сафон	
-150580	Н	Нечуй-Левіцький Іван Cеменович	Іван	Cеменович	Нечуй-Левіцький	
-150428	Н	Нечуй-левицький Іван	Іван		Нечуй-левицький	
-150411	В	Веллс Герберт Джордж	Герберт	Джордж	Веллс	
-150283	Ф	Фиккер Эдуард	Эдуард		Фиккер	
-150235	В	Віктор Франкл	Франкл		Віктор	
-150212	О	Обіома Чiґозі	Чiґозі		Обіома	
-149940	К	Керрол Льюїс	Льюїс		Керрол	
-149872	Ї	Їрґль Райнгард	Райнгард		Їрґль	
-149871	Г	Гетхе Томас	Томас		Гетхе	
-149870	Г	Гільбіг Вольфґанґ	Вольфґанґ		Гільбіг	
-149869	Л	Ланґе-Мюлер Катя	Катя		Ланґе-Мюлер	
-149868	Ш	Шпаршу Єнс	Єнс		Шпаршу	
-149867	К	Куше Лотар	Лотар		Куше	
-149866	Р	Реґенер Свен	Свен		Реґенер	
-149865	Д	Деліус Фрідріх Крістіан	Фрідріх	Крістіан	Деліус	
-149864	Б	Брусіг Томас	Томас		Брусіг	
-149863	Ґ	Ґрюнбайн Дурс	Дурс		Ґрюнбайн	
-149862	К	Клаппер Денні	Денні		Клаппер	
-149861	В	Ваховська Неля	Неля		Ваховська	
-149826	К	Клугер Данило	Данило		Клугер	
-149825	Ф	Філімонов Євген	Євген		Філімонов	
-149824	Д	Добричев Володимир	Володимир		Добричев	
-149823	П	Підпалий Валерій	Валерій		Підпалий	
-149822	К	Кошута Володимир	Володимир		Кошута	
-149781	В	Вілар Сімона	Сімона		Вілар	
-149780	К	Кащеев Илона Волынская, Кирилл	Илона	Волынская, Кирилл	Кащеев	
-149772	С	Сафон Карлос Руїс	Карлос Руїс		Сафон	
-149750	К	Кiнг Овен	Овен		Кiнг	
-149749	К	Кiнг Стiвен	Стiвен		Кiнг	
-149408	К	Корчинський Дмитро Олександрович	Дмитро	Олександрович	Корчинський	
-149263	Ж	Жмирич Зоран	Зоран		Жмирич	
-149262	К	Кошелюк Володимир	Володимир		Кошелюк	
-149245	Д	де Ассіс Машаду	Машаду		де Ассіс	
-149170	М	Манн Генріх	Генріх		Манн	
-149169	С	Семенов Юліан	Юліан		Семенов	
-149168	В	Велтистов Євген	Євген		Велтистов	
-149159	С	Саїд Едвард	Едвард		Саїд	
-149148	Б	Бикав Василь	Василь		Бикав	
-149109	О	Олдi Генрi Лайон	Генрi Лайон		Олдi	
-149105	К	Купер Фенімор	Фенімор		Купер	
-149104	Г	Гете Йоганн Вольфганг	Йоганн	Вольфганг	Гете	
-149096	К	Кристі Агата	Агата		Кристі	
-149068	А	Авдєєнко Олександр	Олександр		Авдєєнко	
-149067	Я	Ян В. Г.	В.	Г.	Ян	
-149059	К	Кашин Володимир	Володимир		Кашин	
-149058	С	Сіменон Жорж	Жорж		Сіменон	
-149057	Л	Ліндґрен Астрід	Астрід		Ліндґрен	
-149056	П	Путрамент Єжи	Єжи		Путрамент	
-149055	С	Сичевський Василь	Василь		Сичевський	
-149054	В	Вавра Ярослав Раймунд	Ярослав	Раймунд	Вавра	
